accn,name,hccf_feed,hccf_large,hccf_small,hccf_mab,hccf_spf1,hccf_spf2,pavin_feed,pavin_large,pavin_small,desc_lower_2,Biophorum DTR,Biophorum high-risk,Levy 2014 - Association,Zhang 2016 - Pro A,Levy 2016 - Coelution,Molden 2021 - 29 DS,Falkenberg 2019 - 6 DS,Kreimer 2017 - 1 DS,Aboulaich 2014 - Association
NP_001230962.1,40S ribosomal protein SA [Cricetulus griseus],5.553258440285353,80.97927363144356,30.55245507509612,0.0,2.202901386759476,22.66293867097626,0.8543233580602804,64.03866302521045,10.695014945069904,40s ribosomal protein sa,40s ribosomal protein sa,,,,,,,,40s ribosomal protein sa
NP_001230968.1,elongation factor 2 [Cricetulus griseus],333.2751331539463,2795.757618151008,1407.2271047054185,225.52120535434483,351.4883200610521,404.686367772897,21.621029379861028,1763.5133398324049,321.5250074218555,elongation factor 2,elongation factor 2,,,elongation factor 2,,,,,elongation factor 2
NP_001230972.1,40S ribosomal protein S2 [Cricetulus griseus],8.687895194627654,28.929569366873544,12.484174930894094,0.0,0.0,8.879173321297602,0.0,28.950214621291632,5.923540166212529,40s ribosomal protein s2,,,,,,40s ribosomal protein s28,,,40s ribosomal protein s20
NP_001230979.1,L-lactate dehydrogenase A chain [Cricetulus griseus],188.0246315905424,5628.15838595564,1695.845476022464,15.179580983921063,44.903710835203626,103.46441688990768,0.1182909614737209,15.68108655808349,2.927208193018669,l lactate dehydrogenase a chain,l lactate dehydrogenase a chain,,,,,,,,l lactate dehydrogenase a chain
NP_001231331.1,elongation factor 1-alpha 1 [Cricetulus griseus],266.1740252136535,2179.9994339532054,1184.5654619282236,39.15517724986698,68.95507904270623,534.6730412996095,28.065507151108847,1736.7368081496702,778.7127007029405,elongation factor 1 alpha 1,elongation factor 1 alpha,,,elongation factor 1 alpha 1,,elongation factor 1 alpha 1,,,
NP_001231783.1,glyceraldehyde-3-phosphate dehydrogenase [Cricetulus griseus],341.9331468181808,4741.944618538541,1528.4758069608636,13.227706342554573,166.89221199899714,464.534675721767,28.79494375547923,1568.2986191202556,261.1361145723225,glyceraldehyde 3 phosphate dehydrogenase,glyceraldehyde 3 phosphate dehydrogenase,,,,glyceraldehyde 3 phosphate dehydrogenase,,,,glyceraldehyde 3 phosphate dehydrogenase
NP_001233603.1,beta-2-microglobulin precursor [Cricetulus griseus],53.39187365000927,1.9281057463829316,1.7179809431188209,0.0,5.392687287359506,680.9425895200802,0.0,0.3117090853752591,0.3703898721732833,beta 2 microglobulin precursor,,,,,,beta 2 microglobulin,,,
NP_001233622.2,protein disulfide-isomerase precursor [Cricetulus griseus],23.940724269575604,55.55166096523611,33.88799796769977,26.85318470621739,38.358486703031225,46.44454101064584,1.5288429704928403,90.50291387605432,23.86279431078381,protein disulfide isomerase precursor,protein disulfide isomerase,protein disulfide isomerase,,,,,,protein disulfide isomeras,
NP_001233649.1,heat shock protein 105 kDa [Cricetulus griseus],3.865706388665181,89.8566951616435,65.25039886053932,0.0,0.3037427810358494,0.0,0.0,27.58736452742159,0.0,heat shock protein 105 kda,,,heat shock protein,,,,,,
NP_001233654.1,phosphoglycerate kinase 1 [Cricetulus griseus],261.6481987336014,628.1995422313681,217.70782005610968,26.030454768916982,577.4872890046248,169.33629330419677,6.83943648008162,451.7426515654347,95.70028566183156,phosphoglycerate kinase 1,phosphoglycerate kinase,,,phosphoglycerate kinase 1,,phosphoglycerate kinase 1,,,
